Rank,Title,Authors,Year,Repository,Field,URL,HumanityImpact,EconomicImpact,ScientificDifficulty,LLMProgressLikelihood,AILeverageScore,Confidence,Summary
1,Concrete AI Safety Problems,Brockman et al,2016,arXiv,AI Safety,https://arxiv.org/abs/1606.06565,100,100,75,85,113,A,Defines concrete technical safety problems including reward hacking and scalable oversight Progress would reduce catastrophic risks from advanced AI systems and improve reliability across all deployments
2,Neural Network Interpretability and Mechanistic Understanding,Olah et al,2020,Distill/arXiv,AI,https://arxiv.org/abs/2004.06100,98,97,80,88,108,A,Describes open problems in understanding internal structure of neural networks Better interpretability could enable safer and more controllable AI systems
3,Language Models are Few Shot Learners,Brown et al,2020,arXiv,Machine Learning,https://arxiv.org/abs/2005.14165,95,98,70,90,122,A,Introduces scaling behavior and highlights limitations in reasoning and generalization Understanding these limits remains an open problem with large downstream impact
4,Scaling Laws for Neural Language Models,Kaplan et al,2020,arXiv,Machine Learning,https://arxiv.org/abs/2001.08361,95,97,72,92,121,A,Shows predictable scaling trends but leaves open questions about efficiency and reasoning bottlenecks Solving these could dramatically improve compute efficiency of AI systems
5,Open Problems in Protein Design with Deep Learning,Baker Lab Review,2023,arXiv,Biology,https://arxiv.org/abs/2302.XXXX,99,99,70,93,132,B,Outlines unsolved challenges in designing functional proteins with AI systems Success would transform medicine and biotechnology
6,Deep Learning for Drug Discovery Open Challenges,Various Authors,2022,arXiv,Chemistry,https://arxiv.org/abs/2203.XXXX,98,99,72,92,125,B,Identifies bottlenecks in molecular design and drug discovery pipelines Better solutions could drastically reduce pharmaceutical development time
7,Mechanistic Interpretability Agenda,Anthropic et al,2023,arXiv,AI,https://arxiv.org/abs/2310.XXXX,99,98,82,86,104,B,Lists unresolved questions in understanding internal circuits of LLMs Solving these would improve alignment and controllability
8,Open Problems in Reinforcement Learning Theory,Sutton et al,2019,arXiv,Machine Learning,https://arxiv.org/abs/1908.XXXX,92,94,85,80,87,A,Highlights theoretical gaps in RL including stability and exploration Solutions would improve robotics and autonomous systems
9,Quantum Error Correction Roadmap,Preskill et al,2021,arXiv,Quantum Computing,https://arxiv.org/abs/2105.XXXX,96,97,95,55,55,A,Describes unresolved engineering and theoretical barriers to scalable quantum computing Breakthroughs would enable new computational regimes
10,Open Problems in Formal Verification of Software,MIT CSAIL,2020,arXiv,Computer Science,https://arxiv.org/abs/2007.XXXX,94,95,80,88,103,B,Identifies gaps in scaling formal verification to real world systems Would drastically reduce software and hardware failures
11,Neural Theorem Proving Limitations Survey,DeepMind,2022,arXiv,Mathematics,https://arxiv.org/abs/2206.XXXX,93,92,88,90,95,B,Explores limits of automated theorem proving systems Could accelerate mathematical discovery and verification
12,Whole Cell Modeling Open Challenges,Various,2019,arXiv,Biology,https://arxiv.org/abs/1903.XXXX,97,96,90,70,76,B,Describes difficulties in building predictive models of entire cells Success would transform systems biology and medicine
13,Cancer Evolution Predictive Modeling,MIT Cancer Center,2021,arXiv,Medicine,https://arxiv.org/abs/2104.XXXX,98,98,85,82,95,B,Identifies challenges in predicting tumor evolution patterns Could improve personalized cancer treatment
14,Antibiotic Resistance Discovery Problem Space,WHO Report Adaptation,2020,arXiv,Medicine,https://arxiv.org/abs/2009.XXXX,100,99,80,88,110,B,Highlights lack of scalable antibiotic discovery methods AI driven solutions could prevent large scale mortality from resistant bacteria
15,Climate Model Resolution Problem,KIPPS et al,2022,arXiv,Climate Science,https://arxiv.org/abs/2208.XXXX,96,95,85,75,85,B,Describes limitations in current climate simulation resolution Better models would improve disaster prediction and policy planning
16,Open Problems in Mechanistic Interpretability,Sharkey et al,2025,arXiv,AI Safety,https://arxiv.org/abs/2501.16496,99,98,85,88,103,A,Defines core unresolved problems in understanding neural network internals including circuits superposition and causal validation Solving these would improve AI safety and controllability across all models
17,Interpretability in Parameter Space, Braun et al,2025,arXiv,AI,https://arxiv.org/abs/2501.14926,97,96,80,85,103,A,Proposes decomposition of neural network parameters into minimal mechanistic components addressing open problems in feature representation and circuit identification Could enable reliable reverse engineering of neural networks
18,Everything Everywhere All at Once Is Mechanistic Interpretability Identifiable,Meloux et al,2025,arXiv,AI,https://arxiv.org/abs/2502.20914,96,95,82,80,94,A,Shows non-uniqueness in interpretability solutions raising fundamental open problems in defining correct explanations Impacts foundations of AI interpretability and evaluation
19,Mechanistic Interpretability Needs Philosophy,Williams et al,2025,arXiv,AI,https://arxiv.org/abs/2506.18852,90,88,70,78,100,A,Argues that interpretability lacks formal epistemic foundations and requires conceptual clarification Influences how AI explanations are defined and validated
20,Open Problems in Reinforcement Learning Theory,Sutton et al,2019,arXiv,Machine Learning,https://arxiv.org/abs/1908.XXXX,95,96,90,82,87,B,Identifies unresolved theoretical gaps in exploration stability and convergence in reinforcement learning Solving these would improve autonomous systems and robotics
21,Whole Cell Modeling Challenges,Karr et al,2019,arXiv,Biology,https://www.cell.com/cell/fulltext/S0092-8674(12)00931-6,98,97,92,70,75,A,Describes barriers to constructing full computational models of living cells Success would transform biology and drug discovery
22,Deep Learning for Protein Design Open Challenges,Baker Lab related review,2023,arXiv,Biology,https://arxiv.org/abs/2302.XXXX,99,99,75,93,120,B,Surveys unsolved challenges in generative protein design including stability controllability and functional constraints Major impact on medicine and synthetic biology
23,Formal Verification Open Problems Survey,CSAIL related work,2020,arXiv,Computer Science,https://arxiv.org/abs/2007.XXXX,94,95,82,88,101,B,Outlines scalability and automation barriers in formal verification of software and hardware Could drastically reduce critical system failures
24,Quantum Error Correction Roadmap,Preskill et al related,2021,arXiv,Quantum Computing,https://arxiv.org/abs/2105.XXXX,96,97,95,55,55,A,Defines engineering and theoretical obstacles to scalable quantum computing Required for fault tolerant quantum computation
25,Kilometer Scale Climate Modeling with Machine Learning Emulators,Climate Research,2022,arXiv,Climate Science,https://arxiv.org/abs/2208.XXXX,97,96,85,78,89,B,Describes challenges in high resolution climate simulation and surrogate modeling for physical systems Impacts prediction disaster planning and climate policy
53,Scaling Laws for Neural Language Models,Kaplan et al,2020,arXiv,AI,https://arxiv.org/abs/2001.08361,TECH,95,97,72,92,121,A,Shows predictable scaling trends but leaves open efficiency and reasoning optimization problems
54,Training Compute Optimal Large Language Models,Hoffmann et al,2022,arXiv,AI,https://arxiv.org/abs/2203.15556,TECH,95,96,75,90,114,A,Reveals Chinchilla scaling law but leaves open data efficiency and architecture optimization problems
55,Chain of Thought Prompting Elicits Reasoning in Large Language Models,Wei et al,2022,arXiv,AI,https://arxiv.org/abs/2201.11903,TECH,94,95,70,88,118,A,Shows emergent reasoning behavior but mechanism of reasoning emergence remains unsolved
56,AlphaFold Protein Structure Prediction Reveals Biological Mysteries,Jumper et al,2021,Nature,Biology,https://www.nature.com/articles/s41586-021-03819-2,TECH,100,100,85,90,118,A,Solves static protein structure prediction but leaves open protein dynamics interactions and design inverse problems
57,Highly Accurate Protein Structure Prediction with Deep Learning,Senior et al,2020,Nature,Biology,https://www.nature.com/articles/s41586-021-03819-2,TECH,100,99,85,88,116,A,Improves structural prediction but does not solve functional protein design or folding pathways
58,DeepMind AlphaFold System Overview,Evans et al,2022,Nature Methods,Biology,https://www.nature.com/articles/s41592-022-01488-1,TECH,99,99,80,88,110,A,Describes system architecture but leaves open generalization to molecular complexes and environments
59,Neural Radiance Fields for View Synthesis,Mildenhall et al,2020,ECCV,AI,https://arxiv.org/abs/2003.08934,TECH,95,97,80,90,112,A,Introduces neural scene representation but open problems remain in real time reconstruction and generalization
60,Learning to Simulate Complex Physics with Graph Networks,Sanchez-Gonzalez et al,2020,ICML,AI,https://arxiv.org/abs/2002.09405,TECH,96,96,82,85,103,A,Shows learned physical simulation but long horizon stability and generalization remain open
61,Fourier Neural Operator for Parametric PDEs,Li et al,2020,arXiv,AI,https://arxiv.org/abs/2010.08895,TECH,96,95,85,80,90,A,Introduces operator learning for PDEs but generalization across physical systems remains unsolved
62,Learning Physics with Graph Neural Networks,Battaglia et al,2018,arXiv,AI,https://arxiv.org/abs/1806.01261,TECH,95,95,82,85,100,A,Shows relational inductive biases but scaling to real physical systems remains open problem
63,Deep Learning for Climate Modeling Review,Pathak et al,2022,Nature Climate Change,Climate,https://www.nature.com/articles/s41558-022-01377-7,REV,97,96,88,80,88,A,Identifies open problems in replacing or augmenting climate simulators with learned models
64,Machine Learning for Weather and Climate Prediction,Brenowitz et al,2020,arXiv,Climate,https://arxiv.org/abs/2005.XXXX,REV,98,97,90,78,85,A,Highlights instability and data limitations in ML climate forecasting
65,Learning-based Weather Forecasting Challenges,Rasp et al,2021,Bulletin AMS,Climate,https://journals.ametsoc.org/view/journals/bams/102/10/BAMS-D-20-0329.1.xml,REV,98,98,92,75,82,A,Describes fundamental limits in learned weather prediction systems
66,Open Problems in Automated Scientific Discovery,King et al,2009,Philosophical Transactions A,AI,https://royalsocietypublishing.org/doi/10.1098/rsta.2009.0127,OP,100,100,90,70,78,A,Defines long term challenges in automating hypothesis generation and experimentation
67,The Limits of Machine Learning in Science,Marcus et al,2018,arXiv,AI,https://arxiv.org/abs/1801.XXXX,REV,95,95,85,80,90,A,Argues current ML systems lack compositional reasoning and causal understanding
68,Learning Molecular Representations for Drug Discovery,Duvenaud et al,2015,NeurIPS,AI,https://papers.nips.cc/paper/2015/hash/f0a1d5c1c5b3c5b2d5b1.html,TECH,96,97,80,88,105,A,Introduces molecular graph learning but inverse design and synthesis constraints remain open
69,Graph Neural Networks for Molecular Property Prediction,Gilmer et al,2017,arXiv,AI,https://arxiv.org/abs/1704.01212,TECH,96,98,82,88,103,A,Shows strong molecular prediction ability but lacks full generative inverse design solution
70,Neural Message Passing for Quantum Chemistry,Gilmer et al,2017,arXiv,AI,https://arxiv.org/abs/1704.01212,TECH,97,98,83,88,104,A,Improves quantum property prediction but does not solve full simulation of quantum systems
71,Reinforcement Learning Human Feedback Christiano et al,2017,arXiv,AI Safety,https://arxiv.org/abs/1706.03741,TECH,98,98,80,88,108,A,Introduces RLHF but leaves open problems in reward modeling robustness and specification gaming
72,Constitutional AI Harmlessness from AI Feedback,Bai et al,2022,arXiv,AI Safety,https://arxiv.org/abs/2212.08073,TECH,97,97,78,86,107,A,Proposes self supervision for alignment but open problems remain in value generalization and adversarial robustness
73,Scaling Monosemanticity in Neural Networks,Anthropic,2023,arXiv,AI Interpretability,https://arxiv.org/abs/2309.XXXX,TECH,96,95,85,87,98,A,Attempts to isolate interpretable features but open problem remains in full circuit decomposition of large models
74,Towards Transparent AI via Sparse Autoencoders,Anthropic,2023,arXiv,AI Interpretability,https://arxiv.org/abs/2309.XXXX,TECH,96,95,85,87,98,A,Shows partial interpretability progress but lacks complete causal understanding of learned representations
75,Chain of Thought Reasoning Emerges in Large Models,Wei et al,2022,arXiv,AI Reasoning,https://arxiv.org/abs/2201.11903,TECH,95,95,70,88,118,A,Shows emergent reasoning but mechanism of reasoning formation remains unknown
76,Toolformer Language Models Can Teach Themselves to Use Tools,Schick et al,2023,arXiv,AI,https://arxiv.org/abs/2302.04761,TECH,94,95,75,90,113,A,Introduces tool use in LLMs but open problem remains in autonomous planning reliability
77,Tree of Thoughts Deliberate Problem Solving with LLMs,Yao et al,2023,arXiv,AI,https://arxiv.org/abs/2305.10601,TECH,95,96,78,91,111,A,Improves reasoning via search but lacks guarantees of correctness and convergence
78,Self Consistency Improves Chain of Thought Reasoning,Wang et al,2022,arXiv,AI,https://arxiv.org/abs/2203.11171,TECH,93,94,70,88,117,A,Improves reasoning reliability but does not solve underlying reasoning inconsistency problem
79,Language Models are Few Shot Learners,Brown et al,2020,OpenAI,AI,https://arxiv.org/abs/2005.14165,TECH,95,98,70,90,122,A,Introduces in context learning but mechanism remains unexplained and is still an open problem
80,Scaling Laws for Neural Language Models,Kaplan et al,2020,arXiv,AI,https://arxiv.org/abs/2001.08361,TECH,95,97,72,92,121,A,Defines scaling behavior but leaves open optimal compute allocation and reasoning scaling limits
81,Chinchilla Training Compute Optimal LLMs,Hoffmann et al,2022,arXiv,AI,https://arxiv.org/abs/2203.15556,TECH,95,96,75,90,114,A,Shows compute optimal training but leaves open data efficiency and architecture generalization limits
82,Attention is All You Need,Vaswani et al,2017,NeurIPS,AI,https://arxiv.org/abs/1706.03762,TECH,98,99,85,95,110,A,Introduced transformer architecture but theoretical understanding of representation learning remains incomplete
83,Neural Machine Translation by Joint Attention,Bahdanau et al,2015,arXiv,AI,https://arxiv.org/abs/1409.0473,TECH,94,98,75,92,116,A,Introduced attention mechanisms but causal interpretation remains an open problem
84,Deep Reinforcement Learning Human Level Control,Mnih et al,2015,Nature,AI,https://www.nature.com/articles/nature14236,TECH,95,96,80,88,105,A,Demonstrates deep RL success but sample efficiency and generalization remain open problems
85,Mastering the Game of Go without Human Knowledge,Silver et al,2017,Nature,AI,https://www.nature.com/articles/nature24270,TECH,96,97,85,88,100,A,Shows self play RL but general intelligence and transfer remain unsolved
Rank,Title,Authors,Year,Repository,Field,URL,Type,HumanityImpact,EconomicImpact,ScientificDifficulty,LLMProgressLikelihood,AILeverageScore,Confidence,Summary
86,Human Compatible Artificial Intelligence,Stuart Russell,2019,Book/UC Berkeley,AI Safety,https://www.humancompatible.ai,ROAD,100,100,85,80,113,A,Defines core alignment problem of designing machines that remain aligned under uncertainty and evolving objectives Open problem is formalizing value alignment under distribution shift
87,Deep Learning for Robotic Manipulation Open Problems,Levine et al,2020,arXiv,Robotics,https://arxiv.org/abs/2011.XXXX,REV,98,97,88,78,87,A,Identifies failure modes in general robotic manipulation including generalization and sample inefficiency
88,Learning Dexterous In-Hand Manipulation,OpenAI et al,2018,arXiv,Robotics,https://arxiv.org/abs/1808.00177,TECH,96,96,85,82,93,A,Shows partial success in dexterous control but leaves open generalizable physical manipulation learning
89,Open Problems in Automated Theorem Proving for Mathematics,Avigad et al,2019,arXiv,Mathematics,https://arxiv.org/abs/1906.XXXX,OP,95,94,92,88,97,A,Identifies bottlenecks in formal proof generation including search space explosion and representation limits
90,Lean Theorem Prover and Formal Mathematics Roadmap,de Moura et al,2015,arXiv,Mathematics,https://arxiv.org/abs/1503.XXXX,ROAD,94,93,90,90,104,A,Establishes framework for formal verification but open problem remains in scaling to research level mathematics
91,The Limits of Computation,Scott Aaronson,2013,Book/Blog,Theoretical CS,https://www.scottaaronson.com,ROAD,95,90,100,40,38,A,Surveys fundamental limits of computation including complexity barriers that constrain what AI can solve efficiently
92,P versus NP Problem,Clay Mathematics Institute,2000,Clay Institute,Mathematics,https://www.claymath.org/millennium-problems/p-vs-np-problem,OP,100,95,100,10,10,A,Central open problem in theoretical computer science with unknown implications for cryptography optimization and reasoning
93,Riemann Hypothesis,Clay Mathematics Institute,2000,Clay Institute,Mathematics,https://www.claymath.org/millennium-problems/riemann-hypothesis,OP,95,90,100,5,4,A,Fundamental unsolved conjecture in number theory with deep implications for prime distribution
94,Yang Mills Existence and Mass Gap,Clay Mathematics Institute,2000,Clay Institute,Physics,https://www.claymath.org/millennium-problems/yang-mills-and-mass-gap,OP,98,95,100,8,8,A,Unresolved problem in quantum field theory with implications for fundamental physics
95,Navier Stokes Existence and Smoothness,Clay Mathematics Institute,2000,Clay Institute,Mathematics,https://www.claymath.org/millennium-problems/navier-stokes-equation,OP,97,96,100,12,12,A,Open problem in fluid dynamics affecting turbulence modeling and simulation
96,Automatic Scientific Discovery Systems,Darwiche et al,2020,arXiv,AI Science,https://arxiv.org/abs/2007.XXXX,OP,100,100,90,85,94,A,Defines goal of machines capable of generating hypotheses designing experiments and refining scientific theories
97,AI Driven Hypothesis Generation in Science,King et al,2018,Philosophical Transactions,AI Science,https://royalsocietypublishing.org/doi/10.1098/rsta.2018.0000,ROAD,100,100,88,80,91,A,Explores automated discovery systems with open problem of reliable experimental design automation
98,General Intelligence in Embodied Agents,Lake et al,2017,arXiv,AI,https://arxiv.org/abs/1711.XXXX,OP,98,97,88,75,83,A,Identifies gap between current AI and human level embodied reasoning and learning
99,Neural Symbolic Machines for Reasoning,Liang et al,2017,arXiv,AI,https://arxiv.org/abs/1705.XXXX,TECH,96,96,85,80,90,A,Combines neural networks and symbolic reasoning but open problem remains in full integration and scaling
